id,interface,assistance,mental_rs,mental_ws,physical_rs,physical_ws,temporal_rs,temporal_ws,performance_rs,performance_ws,effort_rs,effort_ws,frustration_rs,frustration_ws,Raw Score,Weighted Score
PILOT,Joystick,A1,,4,,0,,1,,5,17,2,8,3,4.166666667,3.866666667
PILOT,Joystick,A0,,4,,0,,1,,5,25,3,6,2,5.166666667,5.8
PILOT,Head Array,A0,,3,11,0,,1,,5,51,3,52,3,19,20.6
PILOT,Joystick,A2,,3,,0,,1,20,5,74,3,79,3,28.83333333,37.26666667
PILOT,Head Array,A1,,2,,0,,1,18,5,54,3,47,4,19.83333333,29.33333333
PILOT,Sip N Puff,A0,,2,,1,,0,7,3,100,5,100,4,34.5,61.4
PILOT,Head Array,A2,,3,,1,,0,54,2,100,5,100,4,42.33333333,67.2
U00-PILOT,Joystick,A0,10,3,7,2,7,1,15,4,50,5,20,0,18.16666667,24.06666667
U00-PILOT,Joystick,A1,30,1,9,2,8,1,40,4,40,2,40,5,27.83333333,33.06666667
U00-PILOT,Joystick,A2,35,0,55,3,35,1,80,2,70,4,75,5,58.33333333,67.66666667
U01-PILOT,Head Array,A1,,0,,0,,0,,1,,0,,0,0,0
U01-PILOT,Head Array,A1,55,3,4,0,38,5,35,4,65,1,32,2,38.16666667,41.6
U01-PILOT,Head Array,A2,57,2,8,0,39,4,60,3,59,1,69,5,48.66666667,56.93333333
U01-PILOT,Head Array,A0,48,2,4,0,36,5,28,4,22,2,23,2,26.83333333,31.86666667
U02,Sip N Puff,A0,15,4,9,0,1,1,50,5,50,3,39,2,27.33333333,35.93333333
U03,Joystick,A0,83,5,1,0,,1,32,2,51,4,58,3,37.5,57.13333333
U03,Joystick,A2,56,4,1,0,,1,60,2,64,3,70,5,41.83333333,59.06666667
U03,Joystick,A1,27,3,1,0,,1,54,5,44,4,21,2,24.5,37.93333333
U05,Sip N Puff,A0,60,4,11,2,8,0,29,5,50,3,27,1,30.83333333,38.93333333
U03,Sip N Puff,A0,77,5,5,1,64,2,46,0,79,3,64,4,55.83333333,67.4
U09,Joystick,A1,52,2,0,0,50,3,50,5,71,1,71,4,49,57.26666667
U09,Joystick,A0,30,2,,0,,3,,4,20,1,,5,8.333333333,5.333333333
U09,Joystick,A2,50,2,,0,61,3,75,5,65,1,60,4,51.83333333,64.2
U01-PILOT,Sip N Puff,A0,37,3,4,0,39,5,35,4,18,1,19,2,25.33333333,33.46666667
U09,Sip N Puff,A0,64,2,70,1,21,0,70,5,70,3,69,4,60.66666667,68.93333333
U07,Head Array,A0,66,2,66,2,73,2,64,0,81,4,73,5,70.5,73.26666667
U07,Head Array,A1,59,5,78,0,35,2,71,3,79,4,54,1,62.66666667,63.2
U07,Head Array,A2,79,4,73,3,77,0,58,1,86,2,77,5,75,76.66666667
U02,Joystick,A2,1,3,4,0,2,1,70,4,50,2,52,5,29.83333333,43
U02,Joystick,A0,2,2,3,1,3,0,24,4,56,4,46,4,22.33333333,34.06666667
U02,Joystick,A1,1,3,4,2,5,1,19,4,23,4,3,1,9.166666667,12.46666667
U03,Head Array,A1,33,4,,0,5,2,64,4,41,4,32,1,29.16666667,39.6
U03,Head Array,A0,35,3,0,0,9,1,71,5,28,4,24,2,27.83333333,41.93333333
U03,Head Array,A2,38,3,,0,,1,51,5,43,4,32,2,27.33333333,40.33333333
U10,Head Array,A0,70,5,20,2,31,0,34,2,90,2,60,4,50.83333333,58.53333333
U10,Head Array,A2,100,3,47,0,54,1,91,2,77,4,100,5,78.16666667,89.6
U10,Head Array,A1,85,5,27,0,38,1,68,4,73,2,86,3,62.83333333,75.93333333
U05,Head Array,A0,25,4,18,1,10,2,21,5,25,2,6,1,17.5,19.93333333
U05,Head Array,A2,52,3,7,0,8,1,75,5,29,2,65,4,39.33333333,57.13333333
U05,Head Array,A1,21,4,1,2,5,0,27,5,10,3,13,1,12.83333333,17.6
U14,Joystick,A1,61,5,,1,,0,56,4,27,3,29,2,28.83333333,44.53333333
U14,Joystick,A0,25,3,0,2,0,1,0,5,0,2,0,2,4.166666667,5
U14,Joystick,A2,50,1,60,2,0,0,100,4,75,3,100,5,64.16666667,86.33333333
S01,Head Array,A0,51,5,,1,25,2,,3,50,4,,0,21,33.66666667
S01,Head Array,A2,75,3,25,1,,0,50,5,75,2,50,4,45.83333333,56.66666667
S01,Head Array,A1,50,4,25,1,,0,25,4,50,4,12,2,27,36.6
U14,Head Array,A2,35,2,0,0,50,1,100,4,65,3,100,5,58.33333333,81
U14,Head Array,A0,16,3,0,2,0,0,0,5,16,1,,4,5.333333333,4.266666667
U14,Head Array,A1,5,3,6,3,0,0,0,5,0,2,0,2,1.833333333,2.2
U07,Sip N Puff,A0,76,5,37,1,42,3,81,3,81,3,34,0,58.5,68.6
U04,Head Array,A1,77,5,52,1,8,0,42,2,86,4,74,3,56.5,72.46666667
U04,Head Array,A0,51,1,64,5,10,0,30,3,31,4,50,2,39.33333333,45.66666667
U04,Head Array,A2,100,4,64,1,7,0,85,2,100,3,100,5,76,95.6
S00,Joystick,A2,80,3,54,2,62,1,21,0,90,4,81,5,64.66666667,78.33333333
S00,Joystick,A1,36,3,7,2,9,4,,5,6,1,,0,9.666666667,10.93333333
S00,Joystick,A0,13,3,9,2,,4,,5,,1,,0,3.666666667,3.8
S02,Sip N Puff,A0,,3,,0,,1,50,4,,2,70,5,20,36.66666667
U04,Joystick,A1,26,2,39,4,6,1,11,5,19,3,16,0,19.5,21.73333333
U04,Joystick,A0,15,2,19,3,11,1,4,5,10,4,6,0,10.83333333,10.53333333
U04,Joystick,A2,49,4,23,1,14,0,77,2,75,3,79,5,52.83333333,66.2
U10,Joystick,A2,90,5,23,0,11,1,59,3,72,4,68,2,53.83333333,70.8
U10,Joystick,A1,78,4,7,0,19,1,42,4,69,2,73,4,48,61.93333333
U10,Joystick,A0,62,3,5,0,10,2,18,5,43,4,28,1,27.66666667,33.06666667
U04,Sip N Puff,A0,44,5,35,2,10,0,28,3,49,4,16,1,30.33333333,39.06666667
S01,Sip N Puff,A0,75,4,25,2,,0,25,3,25,5,50,1,33.33333333,40
S02,Head Array,A0,,4,,0,,3,,5,,2,,1,0,0
S02,Head Array,A2,0,4,,0,,1,,2,,3,70,5,11.66666667,23.33333333
S02,Head Array,A1,,4,,0,,2,,1,,3,70,5,11.66666667,23.33333333
S00,Sip N Puff,A0,78,5,39,4,57,3,47,1,43,2,12,0,46,56.66666667
U02,Head Array,A0,23,4,5,1,0,1,8,5,12,3,10,1,9.666666667,12.2
U02,Head Array,A2,74,5,50,2,11,0,63,3,63,1,74,4,55.83333333,67.86666667
U02,Head Array,A1,19,3,11,1,3,0,27,5,16,3,50,3,21,26.73333333
U05,Joystick,A2,45,4,6,1,10,0,23,5,39,3,42,2,27.5,33.46666667
U05,Joystick,A1,23,4,4,1,5,0,16,5,16,3,8,2,12,16
U05,Joystick,A0,12,3,6,1,5,0,7,5,13,4,19,2,10.33333333,11.13333333
U09,Head Array,A2,50,3,10,0,,1,35,5,40,2,50,4,30.83333333,40.33333333
U09,Head Array,A1,20,3,,0,,1,10,5,,2,10,4,6.666666667,10
U09,Head Array,A0,25,1,,0,,2,30,5,40,3,30,4,20.83333333,27.66666667
S00,Head Array,A1,90,5,45,3,62,3,25,0,55,1,70,3,57.83333333,69.06666667
S00,Head Array,A0,80,4,48,1,76,5,22,0,73,3,53,2,58.66666667,71.53333333
S00,Head Array,A2,78,3,68,1,83,4,21,0,82,2,91,5,70.5,83.53333333
U14,Sip N Puff,A0,25,3,50,5,11,1,25,4,30,2,5,0,24.33333333,33.06666667
S03,Joystick,A1,10,0,20,3,5,1,,3,30,5,2,3,11.16666667,14.73333333
S03,Joystick,A2,60,1,70,4,10,0,20,2,80,4,70,4,51.66666667,65.33333333
S03,Joystick,A0,10,4,,2,,0,,5,,3,,1,1.666666667,2.666666667
S03,Sip N Puff,A0,60,2,80,4,30,0,50,1,95,5,80,3,65.83333333,80.33333333
S04,Head Array,A0,75,5,55,1,30,1,,2,80,4,60,2,50,60
S04,Head Array,A1,65,2,35,1,20,3,,5,60,4,40,0,36.66666667,31
S04,Head Array,A2,80,3,60,1,15,4,50,0,85,2,80,5,61.66666667,62
U11,Sip N Puff,A0,51,1,18,0,65,2,61,4,64,3,62,5,53.5,61.8
U10,Sip N Puff,A0,72,4,73,4,42,0,49,1,78,3,66,3,63.33333333,70.73333333
U00,Joystick,A0,51,4,8,0,5,1,69,3,53,2,54,5,40,52.8
U00,Joystick,A1,38,4,6,0,1,1,60,3,39,2,50,5,32.33333333,44.06666667
U00,Joystick,A2,48,3,2,1,6,0,52,4,17,2,47,5,28.66666667,41.53333333
U06,Joystick,A1,49,4,7,0,31,3,24,5,48,1,38,2,32.83333333,35.53333333
U06,Joystick,A0,36,4,11,1,17,1,19,5,26,3,14,1,20.5,23.93333333
U06,Joystick,A2,12,2,9,0,53,3,22,5,27,1,64,4,31.16666667,38.4
U07,Joystick,A2,68,2,70,2,36,1,31,1,83,4,70,5,59.66666667,68.33333333
U07,Joystick,A1,87,4,55,2,71,1,42,2,79,2,83,4,69.5,73.53333333
U07,Joystick,A0,61,4,54,2,29,3,83,5,82,1,29,0,56.33333333,62.4
U13,Sip N Puff,A0,72,5,21,0,72,4,76,2,75,1,74,3,65,73.13333333
U06,Joystick,A2,78,5,37,2,22,1,45,3,59,4,37,0,46.33333333,57.13333333
U06,Head Array,A1,49,5,30,1,15,2,11,4,34,3,7,0,24.33333333,30.06666667
U06,Joystick,A0,58,5,14,0,13,1,58,3,41,3,43,3,37.83333333,48.6
U13,Joystick,A0,51,3,25,1,63,3,53,3,31,2,55,3,46.33333333,50.2
U13,Joystick,A2,60,3,26,0,74,2,74,3,26,2,57,5,52.83333333,59.13333333
U13,Joystick,A1,69,4,18,1,66,3,70,2,25,1,54,4,50.33333333,58.2
U06,Sip N Puff,A0,71,4,62,3,39,0,45,2,74,5,49,1,56.66666667,65.26666667
U13,Head Array,A1,59,2,26,0,36,4,56,2,47,2,87,5,51.83333333,60.2
U13,Head Array,A2,54,1,15,0,71,4,80,3,32,2,90,5,57,72.8
U13,Head Array,A0,33,1,23,1,70,4,45,3,25,1,49,5,40.83333333,49.4
U12,Head Array,A0,100,5,19,1,52,3,34,2,84,4,61,0,58.33333333,71.93333333
U12,Head Array,A1,69,4,32,2,52,0,38,1,44,4,84,4,53.16666667,59.33333333
U12,Head Array,A2,46,5,21,0,90,1,24,3,78,2,84,4,57.16666667,58.93333333
S04,Sip N Puff,A0,75,4,25,1,45,3,,5,65,2,10,0,36.66666667,39.33333333
U01,Head Array,A1,34,4,6,0,42,4,36,4,56,1,47,2,36.83333333,39.86666667
U01,Head Array,A2,64,2,28,0,60,3,100,4,97,1,94,5,73.83333333,85
U01,Head Array,A0,32,4,31,0,20,2,23,5,35,3,18,1,26.5,27.06666667
U12,Sip N Puff,A0,75,3,70,3,62,5,22,0,77,1,99,3,67.5,74.6
U11,Head Array,A1,59,2,36,0,25,1,31,5,53,3,50,4,42.33333333,43.8
U11,Head Array,A0,59,2,28,0,31,2,41,5,61,3,23,3,40.5,42.46666667
U11,Head Array,A2,71,2,33,0,66,3,88,4,75,3,71,3,67.33333333,75.33333333
U12,Joystick,A2,54,4,4,0,72,3,84,2,27,1,85,5,54.33333333,70.13333333
U12,Joystick,A1,37,2,11,0,48,4,44,4,44,1,80,4,44,53.73333333
U12,Joystick,A0,12,2,6,0,11,3,3,4,10,5,9,1,8.5,8.533333333
U01,Sip N Puff,A0,53,2,74,4,35,3,53,1,61,5,36,0,52,57.66666667
U01,Joystick,A1,35,2,10,0,43,5,64,3,28,1,48,4,38,46.46666667
U01,Joystick,A2,48,4,24,0,57,3,35,2,50,1,71,5,47.5,55.86666667
U01,Joystick,A0,15,2,18,0,35,5,15,4,28,1,16,3,21.16666667,22.73333333
S05,Sip N Puff,A0,22,4,74,3,,2,,2,100,1,100,3,49.33333333,47.33333333
U11,Joystick,A0,28,1,27,1,43,3,20,4,54,5,24,1,32.66666667,37.2
U11,Joystick,A2,73,1,67,3,61,1,78,2,81,4,93,4,75.5,79.13333333
U11,Joystick,A1,21,1,19,2,17,3,17,5,18,4,20,0,18.66666667,17.8
S06,Head Array,A1,50,3,40,3,20,5,20,2,15,2,,0,24.16666667,29.33333333
S06,Head Array,A0,55,4,15,4,,4,25,1,10,2,,0,17.5,21.66666667
S06,Head Array,A2,50,5,10,2,20,3,35,0,15,4,20,1,25,27.33333333
S05,Joystick,A2,,3,,1,,2,,4,,4,,1,0,0
S05,Joystick,A0,,2,,2,,0,,3,,3,,5,0,0
S05,Joystick,A1,,3,,4,,1,,2,,2,,3,0,0
S05,Head Array,A0,,2,,2,,2,,5,,1,,3,0,0
S05,Head Array,A1,,4,,3,,1,,2,,3,,2,0,0
S05,Head Array,A2,,4,,2,,1,,3,,3,,2,0,0
S07,Sip N Puff,A0,50,3,75,1,,0,,3,75,5,50,3,41.66666667,50
S08,Joystick,A2,100,5,,0,20,2,50,2,30,2,70,4,45,65.33333333
S08,Joystick,A0,20,4,,0,,4,,3,30,2,20,2,11.66666667,12
S08,Joystick,A1,40,5,,0,,1,30,2,20,4,20,3,18.33333333,26.66666667
U08,Sip N Puff,A0,61,5,10,1,1,0,70,4,55,2,62,3,43.16666667,59.4
U00,Head Array,A2,50,3,4,0,5,1,79,4,37,2,76,5,41.83333333,61.66666667
U00,Head Array,A1,44,3,4,1,5,0,63,5,32,2,48,4,32.66666667,47.13333333
U00,Head Array,A0,45,2,4,1,4,0,61,4,38,3,42,5,32.33333333,44.13333333
S06,Joystick,A0,20,5,1,2,12,1,0,4,2,3,0,0,5.833333333,8
S06,Joystick,A1,18,5,5,3,1,1,8,2,9,4,7,0,8,10.53333333
S06,Joystick,A2,18,5,11,4,5,0,19,1,13,2,20,3,14.33333333,15.93333333
U08,Joystick,A0,14,4,5,0,4,2,61,5,14,1,30,3,21.33333333,31.53333333
U08,Joystick,A2,16,3,5,1,6,2,70,5,25,0,36,4,26.33333333,37.26666667
U08,Joystick,A1,15,4,8,2,4,1,52,5,19,1,30,2,21.33333333,27.93333333
S08,Head Array,A0,70,5,,1,30,1,30,3,50,2,30,3,35,44
S08,Head Array,A2,80,4,30,1,50,1,80,2,80,4,75,3,65.83333333,73.66666667
S08,Head Array,A1,75,5,50,2,50,0,60,3,70,3,60,2,60.83333333,65.66666667
U08,Head Array,A2,17,5,5,0,5,1,61,4,9,2,36,3,22.16666667,30.66666667
U08,Head Array,A0,39,3,10,1,4,0,80,4,41,2,49,5,37.16666667,51.6
U08,Head Array,A1,43,4,21,2,9,0,71,5,55,3,56,1,42.5,52.66666667
S08,Sip N Puff,A0,100,4,50,2,50,1,70,2,70,3,80,3,70,76
S06,Sip N Puff,A0,34,5,4,3,2,0,5,1,4,4,2,2,8.5,13.8
